,latitude,longitude,LSOA11CD
186,53.48820427737103,-2.2354383604364494,E01033664
187,53.48847927387428,-2.2340631085700533,E01033664
188,53.48668967093115,-2.23581675391227,E01033664
189,53.48481136605064,-2.2371908075102467,E01033664
190,53.485035973167705,-2.2364404279038186,E01033664
191,53.485056901623906,-2.2377457828950362,E01033664
192,53.48470299854387,-2.236933594051309,E01033664
193,53.48472531465345,-2.2389227763834216,E01033664
194,53.48555,-2.23721,E01033664
195,53.48577,-2.23711,E01033664
196,53.48481999999999,-2.2360900000000004,E01033664
197,53.484025011446654,-2.2383483790937366,E01033664
198,53.50083000000001,-2.24273,E01005147
199,53.499076484113466,-2.240269135280576,E01005147
200,53.50072,-2.24232,E01005147
201,53.49999,-2.2406200000000003,E01005147
202,53.5009,-2.23493,E01005147
203,53.49981999999999,-2.24064,E01005147
204,53.4945468655348,-2.2392778978209127,E01005147
205,53.49945,-2.24286,E01005147
206,53.50056,-2.24216,E01005147
207,53.50029,-2.24294,E01005147
208,53.50184,-2.24484,E01005147
209,53.49913000000001,-2.24119,E01005147
210,53.49971,-2.24073,E01005147
211,53.49927903545949,-2.2408171994216706,E01005147
212,53.50291,-2.24601,E01005147
213,53.49867,-2.24145,E01005147
214,53.49800000000001,-2.24019,E01005147
215,53.45199,-2.24554,E01005240
216,53.45427,-2.24061,E01005240
217,53.44908,-2.25126,E01005240
218,53.44907611195645,-2.251257873352727,E01005240
219,53.45304,-2.24223,E01005240
220,53.45145,-2.23948,E01005240
221,53.45169,-2.23895,E01005240
222,53.45124000000001,-2.23957,E01005240
223,53.44956,-2.2504,E01005240
224,53.45185,-2.23871,E01005240
225,53.45179,-2.24213,E01005240
226,53.45179447061339,-2.2421311436559046,E01005240
227,53.45324,-2.24389,E01005240
228,53.45503000000001,-2.2411,E01005240
229,53.45354,-2.24455,E01005240
230,53.45314000000001,-2.24278,E01005240
231,53.455028801945545,-2.241104752053713,E01005240
232,53.44946,-2.24668,E01005240
233,53.44958000000001,-2.24868,E01005240
234,53.45169,-2.24344,E01005240
235,53.45309,-2.24359,E01005240
236,53.45157040255575,-2.2386815542437892,E01005240
237,53.45222,-2.24316,E01005240
238,53.45211,-2.24013,E01005240
239,53.4522,-2.24265,E01005240
240,53.43719,-2.21871,E01005309
241,53.44018000000001,-2.2147,E01005309
242,53.437430000000006,-2.21996,E01005309
243,53.43621,-2.2187,E01005309
244,53.440430000000006,-2.21516,E01005309
245,53.43844,-2.21828,E01005309
246,53.43815,-2.21633,E01005309
247,53.43982,-2.21561,E01005309
248,53.43864,-2.21973,E01005309
